References	Qty	Description	Manufacturer	MPN	Digikey	Mouser	RS	Newark	Farnell
C1	1	1uF 0603 X5R	Murata	GRM188R71E224KA88D	490-3290-1-ND	GRM188R71E224KA88D	6242496	91R0949	1828900
C2	1	10uF 0603 X5R	TDK	C1608X5R1A106M080AC	445-6853-1-ND	06036D106MAT2A	7882893	04X3239	2211164
C4	1	0.1uF 0603 X5R	Kemet	C0603C104K5RACTU	399-5089-1-ND	C0603C104K5RACTU	8015347	72J5992	1288255
D1	1	Diode MiniMELF		LL4148	LL4148FSCT-ND	LL4148	6708826	14M6003	7355513
LED1,LED2	2	0603 20mA yellow	Rohm	SML-D12Y8WT86	511-1582-1-ND	5988150107F	7008023	75R0585	1465989
Q1	1	30V Vds, 3A Id, Dual HEXFET MOSFET	International Rectifier	IRF7309PBF	IRF7309PBFCT-ND	IRF7309PBF	5429377	19K8239	2468006
R1	1	10k 0603	Vishay	CRCW060310K0JNEA	541-10KGCT-ND	CRCW060310K0JNEAHP	8206928	52K8066	1469749
R2,R4	2	100k  0603	Vishay	CRCW0603100KJNEA	541-100KGCT-ND	CRCW0603100KJNEAHP	8206916	59M6763	1692517
R3	1	300k  0603	Vishay	CRCW0603300KFKEA	311-300KGRCT-ND	RC0603JR07300KL	8280617	52K8409	1652871
R5, R6	2	1k 0603	Yageo	RC0805FR-071KL	311-1.00KCRCT-ND	RC0805FR071KL	6183583	82K7536	9237496
SW1	1	Tactile switch		FSM2JSMA	450-1130-ND	214375657	4791491	92F2864	3801287
